satellite_a,satellite_b,norad_a,norad_b,distance_km,relative_speed_km_s,time_to_cpa_seconds,minimum_distance_km,risk,risk_score
2026-168J,HULIANWANG DIGUI-178,100137,100203,12850.53700801155,11.70389797823912,0.0,12850.53700801155,LOW,10
STARLINK-38186,STARLINK-38185,100162,100202,12850.814737812305,3.971811650046083,0.0,12850.814737812305,LOW,10
STARLINK-38168,STARLINK-38255,100251,100269,12851.67861348465,14.765912776718363,0.0,12851.67861348465,LOW,10
STARLINK-38246,STARLINK-38280,100247,100265,12851.973976166179,14.764571466156653,0.1087889705517099,12851.973875794405,LOW,10
STARLINK-38168,2026-188A,100251,100366,12859.62406381006,14.406000788929976,30.611449444597465,12852.060540948096,LOW,10
STARLINK-38221,STARLINK-38242,100248,100266,12852.774325705865,14.766101670387032,0.0,12852.774325705865,LOW,10
STARLINK-38172,STARLINK-37375,100214,100228,12852.840792096462,14.738552455299379,0.5417132848882832,12852.838312279915,LOW,10
2026-168E,STARLINK-38188,100133,100233,12866.493487796977,14.458114944916789,40.75833249306128,12852.991618734432,LOW,10
STARLINK-38168,2026-188B,100251,100367,12860.607759012564,14.407254328026367,30.60962318184252,12853.04440119086,LOW,10
STARLINK-38148,STARLINK-38075,100199,100227,12853.331026996264,2.6572130671997662,0.0,12853.331026996264,LOW,10
STARLINK-38100,STARLINK-38162,100149,100159,12853.584715201056,14.712730100860057,0.0,12853.584715201056,LOW,10
TIANLIAN 3-01,HULIANWANG DIGUI-180,100172,100205,12854.379095580907,10.177837264702339,0.0,12854.379095580907,LOW,10
STARLINK-38130,STARLINK-38225,100187,100194,12854.845942889417,14.71567105202801,0.2986178194502165,12854.845191794673,LOW,10
STARLINK-38135,2026-168C,100122,100131,12999.834271452588,13.498683512618202,143.42580241189643,12854.857628239835,LOW,10
STARLINK-37991,STARLINK-38111,100124,100152,12855.32108673931,14.854230681532428,0.0,12855.32108673931,LOW,10
STARLINK-38238,STARLINK-38243,100223,100253,12856.084294867282,14.727089521113612,0.0,12856.084294867282,LOW,10
STARLINK-38132,STARLINK-37207,100154,100184,12856.467215503066,3.852531699176237,0.0,12856.467215503066,LOW,10
STARLINK-37740,STARLINK-38115,100102,100111,12856.630216799405,14.712960105339384,0.0972113746617955,12856.630137242637,LOW,10
STARLINK-38135,2026-168B,100122,100130,12985.09647314918,13.157707677056353,138.47176483714762,12856.638444021653,LOW,10
2026-168A,STARLINK-38186,100129,100162,12909.399201122202,13.72875724581471,84.229540957391,12857.503773228105,LOW,10
HULIANWANG DIGUI-183,ELECTRON R/B,100208,100245,12860.06439940781,13.06442133732535,18.815067961454265,12857.71499124848,LOW,10
STARLINK-38159,STARLINK-38238,100186,100223,12857.736732917565,5.327323282064077,0.0,12857.736732917565,LOW,10
STARLINK-38182,STARLINK-38189,100148,100213,12858.042143983663,14.929461175774406,0.0,12858.042143983663,LOW,10
2026-168H,STARLINK-38126,100136,100235,12865.104971410236,14.34349364419403,29.58646947997558,12858.103794739667,LOW,10
